,label number,method,auc,f1_macro,f1_micro,sensitivity,specificity
15,10,bce,0.9297,0.7129,0.7175,0.7162,0.9379
16,10,fec1,0.9229,0.7093,0.7035,0.7378,0.9202
17,10,fec2,0.9305,0.7189,0.7144,0.7207,0.9341
18,10,fec3,0.9230,0.6945,0.6876,0.7117,0.9205
19,10,fec4,0.9359,0.7181,0.7108,0.7296,0.9283
20,20,bce,0.9451,0.6602,0.6776,0.6440,0.9667
21,20,fec1,0.9445,0.6601,0.6742,0.6587,0.9617
22,20,fec2,0.9483,0.6728,0.6871,0.6907,0.9585
23,20,fec3,0.9482,0.6804,0.6878,0.7166,0.9524
24,20,fec4,0.9505,0.6808,0.6885,0.7414,0.9465
25,30,bce,0.9398,0.5400,0.5996,0.5230,0.9782
26,30,fec1,0.9462,0.5919,0.6371,0.5959,0.9730
27,30,fec2,0.9450,0.5927,0.6328,0.5979,0.9713
28,30,fec3,0.9472,0.6038,0.6345,0.6433,0.9622
29,30,fec4,0.9456,0.6013,0.6361,0.6267,0.9662
